title,company,location,salary,link
Senior Software Developer (Go / Python),ACRONIS ASIA RESEARCH AND DEVELOPMENT PTE. LTD.,Central,"$8,000to$10,000",https://www.mycareersfuture.gov.sg/job/information-technology/senior-software-developer-acronis-asia-research-development-00e45099a164382a057dd4920c960101?source=MCF&event=Search
"Website Developer (Vue, Django, Python, Javascript)",TALENTSIS PTE. LTD.,Central,"$4,000to$6,500",https://www.mycareersfuture.gov.sg/job/information-technology/website-developer-talentsis-f1f0f702a97b70e38f650bb5325b4c69?source=MCF&event=Search
"Website Developer (Vue, Django, Python, Javascript)",TALENTSIS PTE. LTD.,Central,"$4,000to$6,500",https://www.mycareersfuture.gov.sg/job/information-technology/website-developer-talentsis-c6523cdc4147d15f3f04632721281f69?source=MCF&event=Search
Head of IT  /  CTO  /  IT Director - Application  /  Python & Infra,RANDSTAD PTE. LIMITED,Central,"$12,000to$20,000",https://www.mycareersfuture.gov.sg/job/information-technology/head-cto-director-application-python-infra-randstad-52000369a2b6913e01e2e1f4d1adf102?source=MCF&event=Search
Data Engineer - Python CI  /  CD  /  DevOps Data Fabric,RANDSTAD PTE. LIMITED,Central,"$6,000to$9,000",https://www.mycareersfuture.gov.sg/job/information-technology/data-engineer-python-ci-cd-devops-data-fabric-randstad-042ff768f5bf95bbceca4ac9936510d2?source=MCF&event=Search
Python Engineer (Hybrid Work),CFB BOTS PTE. LTD.,Islandwide,"$4,000to$8,000",https://www.mycareersfuture.gov.sg/job/information-technology/python-engineer-cfb-bots-e3185381caac8acc5e2a17519e691569?source=MCF&event=Search
"Informatics Manager (SQL, Python) (Healthcare) (PRIT)",PERSOLKELLY SINGAPORE PTE. LTD.,Central,"$5,000to$8,000",https://www.mycareersfuture.gov.sg/job/information-technology/informatics-manager-persolkelly-singapore-400c45c77e55c724fb213b5f79e6ff05?source=MCF&event=Search
"Software Engineer (MES, Python) (PRIT)",PERSOLKELLY SINGAPORE PTE. LTD.,Central,"$3,500to$5,000",https://www.mycareersfuture.gov.sg/job/information-technology/software-engineer-persolkelly-singapore-0404cc925c4567b60ee05412090b6581?source=MCF&event=Search
"KY11 - Robotic Class Instructor [AI  /  Python, Arduino & blockly coding]",THE SUPREME HR ADVISORY PTE. LTD.,Islandwide,"$3,000to$3,800",https://www.mycareersfuture.gov.sg/job/education-training/ky11-robotic-class-instructor-ai-python-arduino-blockly-coding-supreme-hr-advisory-5007381fd6a33425b8e8daa201d8dbb1?source=MCF&event=Search
"Software Eng (Python, API, Sql, Power BI) - Contract role",UNISON CONSULTING PTE. LTD.,Islandwide,"$4,000to$7,500",https://www.mycareersfuture.gov.sg/job/information-technology/software-eng-contract-role-unison-consulting-185164517a9e974420c6954deb83b921?source=MCF&event=Search
Python API Developer,UARROW PTE. LTD.,East,"$6,000to$7,000",https://www.mycareersfuture.gov.sg/job/information-technology/python-api-developer-uarrow-d60bc8510335ae53a2f85c925e9f8274?source=MCF&event=Search
"Data Engineer / Python Developer (Web3, well-established company, fully remote, open-minded environment)",DADACONSULTANTS PTE. LTD.,Islandwide,"$6,000to$10,000",https://www.mycareersfuture.gov.sg/job/banking-finance/data-engineer-python-developer-dadaconsultants-68cee0f1f2b41d377e6cb5dd37331c27?source=MCF&event=Search
Python API Developer,UNISON CONSULTING PTE. LTD.,East,"$6,000to$7,000",https://www.mycareersfuture.gov.sg/job/information-technology/python-api-developer-unison-consulting-f57e8085941989a30a447dda590aea50?source=MCF&event=Search
"Senior Software Engineer (Java, J2EE,C++, Python,C# ) /  Full Stack Java",STAR CAREER CONSULTING PTE. LTD.,Islandwide,"$6,000to$8,000",https://www.mycareersfuture.gov.sg/job/information-technology/senior-software-engineer-full-stack-java-star-career-consulting-b4b586c37f8a541b07ac50222ee246c3?source=MCF&event=Search
Python Developer,PERCEPT SOLUTIONS PTE. LTD.,Islandwide,"$5,000to$6,000",https://www.mycareersfuture.gov.sg/job/information-technology/python-developer-percept-solutions-39b4a4fcab36eb6c459750a1ea20e60f?source=MCF&event=Search
Software Engineer - Golang Java Python (Secure Supply Chain),THAKRAL ONE PTE. LTD.,Central,"$5,500to$7,000",https://www.mycareersfuture.gov.sg/job/information-technology/software-engineer-golang-java-python-thakral-one-3fc382d5bb7baf41a6237d10075d0471?source=MCF&event=Search
Python Developer,VY SYSTEMS PTE. LTD.,Islandwide,"$6,500to$7,500",https://www.mycareersfuture.gov.sg/job/information-technology/python-developer-vy-systems-9894c8dcdb20fcd6cf4d3045ce85ee74?source=MCF&event=Search
Python and Devops Engineer,VY SYSTEMS PTE. LTD.,Islandwide,"$7,500to$8,000",https://www.mycareersfuture.gov.sg/job/engineering/python-devops-engineer-vy-systems-058cd16057b7c59f71c024844011b76c?source=MCF&event=Search
Software Engineer (Python),ZENIKA PTE. LTD.,Central,"$6,000to$11,000",https://www.mycareersfuture.gov.sg/job/information-technology/software-engineer-zenika-5266062de061fb241526555cd201e9bd?source=MCF&event=Search
DevOps Developer (Python),NTT SINGAPORE PTE. LTD.,Central,"$7,000to$10,000",https://www.mycareersfuture.gov.sg/job/information-technology/devops-developer-ntt-singapore-f3598bed8668f68d96e848f82b3d6ac9?source=MCF&event=Search
